Device,FlowID,Label,Throughput_normal_MB,Throughput_attack_MB,OWD_normal_s,OWD_attack_s,PDV_normal_s,PDV_attack_s,PacketLoss_normal_pct,PacketLoss_attack_pct,TRR_pct,PDR_pct,PLR_pctpoints,NDI_pct,JVI_pct,ASI_score,ASI_Severity,ASI_Severity_Color,C_score,I_score,A_score,RiskScore,RiskLabel,RiskLabel_Color,NHS_Likelihood,NHS_Impact,NHS_RiskScore,NHS_RAG,DominantMetric,CAF_DSPT_Domain,FHIR_Security_Dimension,ControlGap_ISO27001_A12_6_1_2,Mitigation,Severity,PriorityScore,ActionLevel,CriticalityFactor,CompleteLoss,ThreatCategory,IEC62443_Zone,IEC62443_RecSL,PrivacyImpactLevel,CIA_Compliance,ISO13485_Note
WIP,1,1,0.0003731227882077735,0.0003731227882077735,0.0,0.0,0.0,0.0,0.0,0.0,99.85477688547402,0.0,0.0,99.99999999999999,100.0,69.94191075418962,High,#e57373,23.080830548882577,23.080830548882577,23.780249656424473,69.94191075418962,High,#e57373,4,2,8,Orange,Throughput,B - Protecting against cyber attack,Availability,Yes,"Investigate bandwidth/path, QoS, encryption, routing. Escalate immediately; incident response.",High,69.94,Warning,1.0,No,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,High,Non-Compliant,ISO13485-aligned device QMS required
WIP,2,1,0.0045174124776661655,0.006136482385299298,0.007602630000000001,0.0055911400000000005,0.0,0.0,0.0,0.0,97.61161978739656,73.54218211329501,0.0,26.457817886704994,100.0,54.33621149229963,High,#e57373,17.93094979245888,17.93094979245888,18.474311907381875,54.33621149229963,High,#e57373,4,2,8,Orange,Throughput,B - Protecting against cyber attack,Availability,Yes,"Investigate bandwidth/path, QoS, encryption, routing. Escalate immediately; incident response.",High,54.34,Warning,1.0,No,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,High,Non-Compliant,ISO13485-aligned device QMS required
WIP,3,1,0.0637587868315047,0.06396209928951332,0.0009486592190531122,0.0006990325744599848,0.0007043064782932581,0.0004595405549338462,0.2683615819209039,0.007062146892655367,75.10531234219471,24.72078684425455,1.937984496124031,75.27921315574545,58.04195942774956,51.48355885963913,High,#e57373,16.989574423680914,16.989574423680914,17.504410012277305,51.48355885963913,High,#e57373,4,2,8,Orange,Throughput,B - Protecting against cyber attack,Availability,Yes,"Investigate bandwidth/path, QoS, encryption, routing. Escalate immediately; incident response.",High,51.48,Warning,1.0,No,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,High,Non-Compliant,ISO13485-aligned device QMS required
WIP,4,1,0.033495581092112925,0.03362688495421282,0.0021983900910132,0.0016282087448277142,0.0009299275633102823,0.0007491877383811273,0.39548022598870053,0.0423728813559322,86.91208063620687,57.580437292112585,10.714285714285715,42.419562707887415,31.595918606676438,49.62262237101359,Medium,#ffb74d,16.375465382434484,16.375465382434484,16.871691606144623,49.62262237101359,Medium,#ffb74d,3,2,6,Amber,Throughput,B - Protecting against cyber attack,Availability,No,"Investigate bandwidth/path, QoS, encryption, routing. Increase monitoring & schedule remediation.",Medium,49.62,Normal,1.0,No,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,Medium,Non-Compliant,ISO13485-aligned device QMS required
WIP,5,1,0.03349525786837077,0.03360995720275098,0.002227016770240675,0.0020116878613784693,0.0010108765976348396,0.0009696200447500826,0.38135593220338987,0.09180790960451976,86.91866908608692,71.14190187306957,24.074074074074066,28.858098126930425,11.469495476524616,48.90825902969554,Medium,#ffb74d,16.13972547979953,16.13972547979953,16.628808070096486,48.90825902969554,Medium,#ffb74d,3,2,6,Amber,Throughput,B - Protecting against cyber attack,Availability,No,"Investigate bandwidth/path, QoS, encryption, routing. Increase monitoring & schedule remediation.",Medium,48.91,Normal,1.0,No,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,Medium,Non-Compliant,ISO13485-aligned device QMS required
WIP,6,1,0.03292769920506214,0.03362169026306809,0.002621588712696161,0.002070095747384525,0.0011855556466169302,0.0010801289985220529,2.055084745762712,0.05649717514124294,86.91410246186555,73.20745497135638,2.7491408934707904,26.792545028643623,8.892593814193365,41.83815163993552,Medium,#ffb74d,13.80659004117872,13.80659004117872,14.224971557578076,41.83815163993552,Medium,#ffb74d,3,2,6,Amber,Throughput,B - Protecting against cyber attack,Availability,No,"Investigate bandwidth/path, QoS, encryption, routing. Increase monitoring & schedule remediation.",Medium,41.84,Normal,1.0,No,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,Medium,Non-Compliant,ISO13485-aligned device QMS required
WIP,7,1,0.033494875802996336,0.03358364334051267,0.002464342134598208,0.002289811447873616,0.001131790884949666,0.001107277256378415,0.3954802259887006,0.1694915254237288,86.92891070399455,80.97754351454459,42.857142857142854,19.022456485455407,2.1659150022524796,51.649789936057005,High,#e57373,17.044430678898813,17.044430678898813,17.560928578259382,51.649789936057005,High,#e57373,4,2,8,Orange,Throughput,B - Protecting against cyber attack,Availability,Yes,"Investigate bandwidth/path, QoS, encryption, routing. Escalate immediately; incident response.",High,51.65,Warning,1.0,No,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,High,Non-Compliant,ISO13485-aligned device QMS required
WIP,8,1,0.033512331125647096,0.033602976269141896,0.0023968671800732423,0.002106277272704555,0.0011052985044470727,0.0011007827114280595,0.3389830508474576,0.11299435028248586,86.92138613514705,74.48698872674314,31.00775193798449,25.513011273256872,0.4085586835451473,49.21433815846005,Medium,#ffb74d,16.24073159229182,16.24073159229182,16.73287497387642,49.21433815846006,Medium,#ffb74d,3,2,6,Amber,Throughput,B - Protecting against cyber attack,Availability,No,"Investigate bandwidth/path, QoS, encryption, routing. Increase monitoring & schedule remediation.",Medium,49.21,Normal,1.0,No,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,Medium,Non-Compliant,ISO13485-aligned device QMS required
WIP,9,1,0.033447912370798485,0.0,0.0015640918622995105,0.0,0.0007118968137058783,0.0,0.5841298740707025,81.48991048399333,100.0,0.0,100.0,100.0,100.0,100.0,High,#e57373,33.0,33.0,34.0,100.0,Critical,#b71c1c,5,3,15,Red,Throughput,B - Protecting against cyber attack,Availability,Yes,"CRITICAL: Complete packet loss detected. Investigate bandwidth/path, QoS, encryption, routing. Emergency response required.",High,100.0,Critical,1.0,Yes,Network interception / message tampering,IEC62443 Zone 1 (Clinical Wi-Fi LAN),3,High,Non-Compliant,ISO13485-aligned device QMS required
SHS,1,1,0.0003731227882077735,0.0003731227882077735,0.0,0.0,0.0,0.0,0.0,0.0,99.85117570527531,0.0,0.0,100.0,100.0,79.97023514105507,High,#e57373,26.390177596548174,26.390177596548174,27.189879947958726,79.97023514105507,Critical,#b71c1c,5,3,15,Red,Delay,D - Minimising impact of incidents,Availability,Yes,"Investigate latency sources, queueing; implement redundancy/QoS. Escalate immediately; incident response.",High,67.97,Warning,0.85,No,Network interception / message tampering,IEC62443 Zone 2 (Bluetooth P2P / Companion Device),2,High,Non-Compliant,ISO13485-aligned device QMS required
SHS,2,1,0.0045174124776661655,0.006136482385299298,0.007602630000000001,0.0055911400000000005,0.0,0.0,0.0,0.0,97.55239376434403,73.54218211329501,0.0,26.457817886704994,100.0,57.447824118880305,High,#e57373,18.957781959230502,18.957781959230502,19.532260200419305,57.447824118880305,High,#e57373,4,2,8,Orange,Jitter,C - Detecting cyber security events,Integrity,Yes,Examine scheduling/buffers; apply smoothing/buffering. Escalate immediately; incident response.,High,48.83,Normal,0.85,No,Network interception / message tampering,IEC62443 Zone 2 (Bluetooth P2P / Companion Device),2,High,Non-Compliant,ISO13485-aligned device QMS required
SHS,3,1,0.0637587868315047,0.06396209928951332,0.0009486592190531122,0.0006990325744599848,0.0007043064782932581,0.0004595405549338462,0.2683615819209039,0.007062146892655367,74.48798460797276,28.58366891878848,0.8593585594381196,71.41633108121152,39.75094902144721,48.419652664279795,Medium,#ffb74d,15.978485379212334,15.978485379212334,16.46268190585513,48.419652664279795,Medium,#ffb74d,3,2,6,Amber,Delay,D - Minimising impact of incidents,Availability,No,"Investigate latency sources, queueing; implement redundancy/QoS. Increase monitoring & schedule remediation.",Medium,41.16,Normal,0.85,No,Network interception / message tampering,IEC62443 Zone 2 (Bluetooth P2P / Companion Device),2,Medium,Non-Compliant,ISO13485-aligned device QMS required
SHS,4,1,0.033495581092112925,0.03362688495421282,0.0021983900910132,0.0016282087448277142,0.0009299275633102823,0.0007491877383811273,0.39548022598870053,0.0423728813559322,86.58753205308791,66.5779841930609,5.156151356628717,33.4220158069391,19.435903618747652,34.20611250964935,Medium,#ffb74d,11.288017128184286,11.288017128184286,11.63007825328078,34.20611250964935,Medium,#ffb74d,3,2,6,Amber,Throughput,B - Protecting against cyber attack,Availability,No,"Investigate bandwidth/path, QoS, encryption, routing. Increase monitoring & schedule remediation.",Medium,29.08,Normal,0.85,No,Network interception / message tampering,IEC62443 Zone 2 (Bluetooth P2P / Companion Device),2,Medium,Non-Compliant,ISO13485-aligned device QMS required
SHS,5,1,0.03349525786837077,0.03360995720275098,0.002227016770240675,0.0020116878613784693,0.0010108765976348396,0.0009696200447500826,0.38135593220338987,0.09180790960451976,86.59428388050826,82.2585697698118,11.171661272695554,17.741430230188204,4.081265011108722,26.09999760302984,Medium,#ffb74d,8.612999208999849,8.612999208999849,8.873999185030147,26.099997603029845,Medium,#ffb74d,3,1,3,Green,Throughput,B - Protecting against cyber attack,Availability,No,"Investigate bandwidth/path, QoS, encryption, routing. Increase monitoring & schedule remediation.",Medium,22.18,Normal,0.85,No,Network interception / message tampering,IEC62443 Zone 2 (Bluetooth P2P / Companion Device),2,Medium,Non-Compliant,ISO13485-aligned device QMS required
SHS,6,1,0.03292769920506214,0.03362169026306809,0.002621588712696161,0.002070095747384525,0.0011855556466169302,0.0010801289985220529,2.055084745762712,0.05649717514124294,86.5896040151078,78.96340632530206,2.7491408934707904,21.03659367469795,8.892593814193365,26.846505228383116,Medium,#ffb74d,8.859346725366429,8.859346725366429,9.12781177765026,26.846505228383116,Medium,#ffb74d,3,1,3,Green,Throughput,B - Protecting against cyber attack,Availability,No,"Investigate bandwidth/path, QoS, encryption, routing. Increase monitoring & schedule remediation.",Medium,22.82,Normal,0.85,No,Network interception / message tampering,IEC62443 Zone 2 (Bluetooth P2P / Companion Device),2,Medium,Non-Compliant,ISO13485-aligned device QMS required
